Year,All
1950,94985179.78
1951,96913337.07
1952,82640525.59
1953,101661575.3
1954,142933236.2
1955,88572075.95
1956,119602170.4
1957,134483414.9
1958,147521433.4
1959,143205935.1
1960,136895868.2
1961,140760677.8
1962,238749574.6
1963,258181182.5
1964,280750734
1965,232867081.4
1966,250830582.3
1967,307250109.6
1968,275206304.5
1969,323099896.9
1970,318170973.5
1971,403827290.4
1972,350078055.2
1973,754080585.3
1974,381212693.2
1975,318419420.9
1976,383273391.7
1977,560872313.1
1978,376093971.9
1979,792723938.2
1980,665656207.3
1981,590149362.3
1982,493692126.5
1983,624599481.3
1984,539525991.6
1985,592719490.4
1986,861441716
1987,1497322243
1988,650713323.2
1989,706168352.3
1990,775062396.8
1991,986729454.2
1992,968144777.1
1993,666945169.7
1994,896098577.1
1995,735193256.6
1996,743989658.7
1997,1079972622
1998,762579523.6
1999,935359049.8
2000,986710691.9
2001,911702501.1
2002,1217877731
2003,980783696.3
2004,876272634.3
2005,1248517742
2006,942187638.7
2007,770575617.6
2008,879663351.6
2009,961912606.5
2010,913827620
2011,1586227974
2012,1632288935
2013,914943726.5
2014,997313464.2
2015,939463604.5
